 inst#     actual  predicted error distribution (ID)
   432        2:1        2:1       0,*0.9,0.1 (6716)
   433        2:1        2:1       0,*1,0 (734)
   434        2:1        2:1       0,*1,0 (3078)
   435        2:1        2:1       0.2,*0.5,0.3 (9032)
   436        2:1        2:1       0.1,*0.8,0.1 (10635)
   437        2:1        2:1       0.1,*0.7,0.2 (19901)
   438        2:1        2:1       0,*1,0 (16618)
   439        2:1        2:1       0.1,*0.9,0 (7733)
   440        2:1        2:1       0.1,*0.9,0 (16188)
   441        2:1        2:1       0,*1,0 (7507)
   442        2:1        2:1       0,*1,0 (2793)
   443        2:1        1:2   +   *0.5,0.2,0.3 (16787)
   444        2:1        2:1       0,*1,0 (5533)
   445        2:1        2:1       0,*1,0 (13444)
   446        2:1        2:1       0,*0.8,0.2 (17393)
   447        2:1        2:1       0.2,*0.6,0.2 (17320)
   448        2:1        2:1       0,*1,0 (15153)
   449        2:1        2:1       0,*1,0 (3520)
   450        2:1        2:1       0.2,*0.8,0 (9480)
   451        2:1        2:1       0,*1,0 (8101)
   452        2:1        2:1       0.2,*0.8,0 (20008)
   453        2:1        2:1       0,*0.9,0.1 (5019)
   454        2:1        2:1       0,*0.9,0.1 (8106)
   455        2:1        2:1       0,*1,0 (6083)
   456        2:1        2:1       0,*0.8,0.2 (16843)
   457        2:1        2:1       0.1,*0.8,0.1 (10255)
   458        2:1        2:1       0,*1,0 (4153)
   459        2:1        2:1       0.2,*0.8,0 (14560)
   460        2:1        2:1       0.1,*0.8,0.1 (18147)
   461        2:1        2:1       0,*0.9,0.1 (9664)
   462        2:1        2:1       0.2,*0.5,0.3 (10735)
   463        2:1        2:1       0.1,*0.9,0 (14185)
   464        2:1        2:1       0.1,*0.9,0 (11577)
   465        2:1        2:1       0.2,*0.7,0.1 (7096)
   466        2:1        2:1       0,*0.9,0.1 (4050)
   467        2:1        2:1       0,*1,0 (8767)
   468        2:1        2:1       0.2,*0.6,0.2 (6347)
   469        2:1        2:1       0,*1,0 (10628)
   470        2:1        2:1       0,*1,0 (4776)
   471        2:1        2:1       0,*1,0 (12422)
   472        2:1        2:1       0,*0.9,0.1 (2057)
   473        2:1        2:1       0,*1,0 (8869)
   474        2:1        2:1       0,*1,0 (13291)
   475        2:1        2:1       0,*1,0 (1749)
   476        2:1        2:1       0,*1,0 (2551)
   477        2:1        2:1       0.4,*0.5,0.1 (2098)
   478        2:1        2:1       0.1,*0.9,0 (17670)
   479        2:1        2:1       0,*0.8,0.2 (11889)
   480        2:1        2:1       0,*0.9,0.1 (7702)
   481        2:1        2:1       0.2,*0.7,0.1 (17176)
   482        2:1        2:1       0.1,*0.9,0 (13716)
   483        2:1        2:1       0.2,*0.4,0.4 (11108)
   484        2:1        2:1       0.1,*0.9,0 (1067)
   485        2:1        2:1       0,*0.8,0.2 (16853)
   486        2:1        3:0   +   0,0.4,*0.6 (11768)
   487        2:1        2:1       0.1,*0.9,0 (12345)
   488        2:1        2:1       0.1,*0.9,0 (2468)
   489        2:1        2:1       0,*1,0 (5189)
   490        2:1        2:1       0,*1,0 (6613)
   491        2:1        2:1       0,*0.9,0.1 (15319)
   492        2:1        2:1       0,*1,0 (7953)
   493        2:1        2:1       0.1,*0.5,0.4 (18348)
   494        2:1        2:1       0.1,*0.9,0 (3183)
   495        2:1        2:1       0,*1,0 (8709)
   496        2:1        2:1       0.1,*0.8,0.1 (17759)
   497        2:1        2:1       0.3,*0.6,0.1 (2250)
   498        2:1        2:1       0.1,*0.9,0 (10017)
   499        2:1        2:1       0.3,*0.6,0.1 (7418)
   500        2:1        2:1       0,*0.9,0.1 (296)
   501        2:1        2:1       0,*1,0 (10919)
   502        2:1        3:0   +   0.3,0.3,*0.4 (3033)
   503        2:1        2:1       0,*1,0 (10247)
   504        2:1        2:1       0,*0.9,0.1 (14969)
   505        2:1        2:1       0,*0.6,0.4 (14581)
   506        2:1        2:1       0.1,*0.9,0 (17456)
   507        2:1        2:1       0.1,*0.9,0 (16266)
   508        2:1        2:1       0,*1,0 (13665)
   509        2:1        1:2   +   *0.5,0.5,0 (2846)
   510        2:1        2:1       0,*0.8,0.2 (19280)
   511        2:1        2:1       0,*1,0 (9712)
   512        2:1        2:1       0,*1,0 (14846)
   513        2:1        2:1       0,*1,0 (12528)
   514        2:1        2:1       0.2,*0.7,0.1 (1341)
   515        2:1        2:1       0.1,*0.8,0.1 (18326)
   516        2:1        2:1       0.1,*0.8,0.1 (1122)
   517        2:1        2:1       0,*0.9,0.1 (6411)
   518        2:1        2:1       0,*0.7,0.3 (2297)
   519        2:1        1:2   +   *0.9,0.1,0 (10847)
   520        2:1        2:1       0.1,*0.7,0.2 (5835)
   521        2:1        2:1       0.1,*0.9,0 (1050)
   522        2:1        2:1       0.3,*0.7,0 (10052)
   523        2:1        1:2   +   *0.4,0.4,0.2 (1258)
   524        2:1        2:1       0,*0.8,0.2 (15541)
   525        2:1        2:1       0.4,*0.5,0.1 (5983)
   526        2:1        3:0   +   0.1,0.4,*0.5 (6722)
   527        2:1        2:1       0,*1,0 (14665)
   528        2:1        2:1       0,*0.9,0.1 (8700)
